FSA,min_consumption,max_consumption,avg_consumption
N3C,5896.400000000001,14507.5,9396.758333333331
N3E,510.9,1289.2,839.3864247311828
N3H,5270.0,12335.0,8393.404032258064
N3L,4466.9,10773.7,7133.3286290322585
N3P,1459.0,3948.4,2472.46626344086
N3R,7485.7,19011.6,12415.51760752688
N3S,6467.200000000001,14861.6,10113.01747311828
N3T,9959.6,22566.6,15429.784005376345
N3V,339.0,890.1,547.8145161290323
N3W,3781.9,8903.0,6044.325806451613
N3Y,6318.599999999999,14028.7,9936.595430107527
N4,37.2,141.8,71.36834862385321
N4B,1863.5,4057.3,2890.5291666666667
N4G,5789.1,13441.3,9299.248655913978
N4K,7033.2,15863.9,10972.82244623656
N4L,1245.7,6162.1,4332.707930107527
N4N,3024.0000000000005,6661.7,4675.8487903225805
N4S,8056.8,18098.7,12367.83252688172
N4T,2435.5,6241.0,4011.412231182796
N4V,538.6,1441.0,897.9893817204301
N4W,3574.6,7865.6,5634.173252688172
N4X,4229.5,9058.2,6567.613037634408
N4Z,441.5,1153.3,724.7258064516129
N5A,8339.5,18871.800000000003,13138.764516129031
N5C,4511.8,10258.2,6908.925672043011
N5H,4365.8,9834.000000000002,6960.560752688172
N5L,1491.8,3025.3,2181.7672043010757
N5P,5742.1,12564.8,8848.189919354838
N5R,7454.9,17720.2,11796.221370967742
N5V,6604.1,16083.1,10614.927688172043
N5W,5026.6,11860.6,7913.052284946237
N5X,7021.799999999999,17289.9,11475.691935483872
N5Y,5597.799999999999,13551.5,9160.990456989248
N5Z,4979.400000000001,11873.3,7973.579435483871
N6,769.8,1650.4,1278.545933014354
N6A,3012.7000000000003,7545.3,5066.95497311828
N6B,2280.7,4965.3,3575.762768817204
N6C,6177.7,15180.7,10173.948790322582
N6E,4433.1,11460.7,7522.931586021505
N6G,10257.5,25150.8,16447.3126344086
N6H,6483.2,16047.5,10594.932392473118
N6J,4684.0,12015.8,7938.745833333333
N6K,7826.0,19898.9,12908.69435483871
N6L,1161.4,2754.8,1806.634811827957
N6M,1890.1,4489.3,2984.795698924732
N6N,279.5,615.4,441.541935483871
N6P,2965.2,6591.5,4573.893951612903
N7,739.0,1597.0,1171.8557213930349
N7A,4137.099999999999,9081.0,6527.237903225807
N7G,4897.299999999999,11205.3,7724.390994623656
N7L,4984.4,12195.1,8097.305645161291
N7M,6637.7,14531.5,10196.59301075269
N7S,5882.0,14411.7,9470.903360215054
N7T,5536.5,12058.2,8439.924059139785
N7V,2478.4,6076.400000000001,3987.3181451612895
N7W,649.5,1583.5,1053.0389784946235
N7X,348.9,814.6999999999999,543.8885752688171
N8,41196.7,92609.0,64735.5123655914
N8A,246.7,756.6,464.3518817204301
N8H,430.4,1015.0,641.7224462365591
N8M,210.4,527.6999999999999,341.3849462365592
N8N,302.6,909.2,583.7979838709678
N8P,249.6,686.4,425.2737903225807
N8R,140.3,539.9,287.2217741935484
N8S,480.5,1171.2,794.5583333333334
N8T,359.4,879.8,621.1845430107527
N8W,361.5,997.2,606.5114247311828
N8X,249.8,683.0,444.1965053763441
N8Y,299.2,781.8,524.8056451612904
N9,677.5,942.9,794.8857142857142
N9A,4363.7,9279.1,6759.739112903227
N9B,3633.1,8285.1,5781.342607526883
N9C,2295.1,5136.4,3648.638978494624
N9E,4289.8,10190.3,6786.648387096775
N9G,3664.8,8714.5,5837.372446236559
N9H,3094.5,7060.0,4796.105779569893
N9J,4687.400000000001,11129.3,7440.326612903225
N9K,515.4,1267.0,834.5111559139785
N9V,5585.5,12610.7,8726.449999999999
N9Y,4080.0,9151.8,6352.342338709677
P0,10410.4,19574.3,14628.3748655914
P0A,8147.8,17160.9,11781.220967741936
P0B,9241.1,17023.9,12563.386559139784
P0C,2813.4,5188.9,3814.116801075269
P0E,2113.1,4170.8,3051.4932795698924
P0G,2574.9,5148.6,3625.4721774193545
P0H,13106.0,26872.9,19491.1
P0J,5017.4,10525.0,7380.8633064516125
P0K,3448.2,6733.9,4991.590322580645
P0L,6839.5,13560.2,10283.11491935484
P0M,23158.0,46181.4,33293.2751344086
