FSA,CUSTOMER_TYPE,HOUR,DATE,TOTAL_CONSUMPTION
L9G,Residential,3,2018-11-09,5257.5
L9G,Residential,3,2018-11-10,5790.4
L9G,Residential,3,2018-11-11,5811.4
L9G,Residential,3,2018-11-12,5432.2
L9G,Residential,3,2018-11-13,5228.2
L9G,Residential,3,2018-11-14,5724.4
L9G,Residential,3,2018-11-15,5843.6
L9G,Residential,3,2018-11-16,5616.0
L9G,Residential,3,2018-11-17,5756.8
L9G,Residential,3,2018-11-18,5894.9
L9G,Residential,3,2018-11-19,5686.9
L9G,Residential,3,2018-11-20,5610.4
L9G,Residential,3,2018-11-21,5892.0
L9G,Residential,3,2018-11-22,6549.1
L9G,Residential,3,2018-11-23,6410.0
L9G,Residential,3,2018-11-24,5888.2
L9G,Residential,3,2018-11-25,5485.1
L9G,Residential,3,2018-11-26,5438.3
L9G,Residential,3,2018-11-27,5635.1
L9G,Residential,3,2018-11-28,5890.0
L9G,Residential,3,2018-11-29,5776.2
L9G,Residential,3,2018-11-30,5738.6
L9G,Residential,3,2018-12-01,5897.4
L9G,Residential,3,2018-12-02,5839.2
L9G,Residential,3,2018-12-03,6000.8
L9G,Residential,3,2018-12-04,5821.1
L9G,Residential,3,2018-12-05,6311.1
L9G,Residential,3,2018-12-06,6112.4
L9G,Residential,3,2018-12-07,6352.1
L9G,Residential,3,2018-12-08,6437.3
L9G,Residential,3,2018-12-09,6447.9
L9G,Residential,3,2018-12-10,6166.1
L9G,Residential,3,2018-12-11,6124.3
L9G,Residential,3,2018-12-12,6244.0
L9G,Residential,3,2018-12-13,6021.8
L9G,Residential,3,2018-12-14,6044.0
L9G,Residential,3,2018-12-15,5876.6
L9G,Residential,3,2018-12-16,6031.1
L9G,Residential,3,2018-12-17,5882.6
L9G,Residential,3,2018-12-18,6161.8
L9G,Residential,3,2018-12-19,6309.5
L9G,Residential,3,2018-12-20,6033.0
L9G,Residential,3,2018-12-21,5980.9
L9G,Residential,3,2018-12-22,6710.2
L9G,Residential,3,2018-12-23,6704.9
L9G,Residential,3,2018-12-24,6381.8
L9G,Residential,3,2018-12-25,6793.5
L9G,Residential,3,2018-12-26,6527.1
L9G,Residential,3,2018-12-27,6341.9
L9G,Residential,3,2018-12-28,6051.9
L9G,Residential,3,2018-12-29,6004.0
L9G,Residential,3,2018-12-30,6471.8
L9G,Residential,3,2018-12-31,6339.5
L9G,Residential,4,2018-10-01,5057.8
L9G,Residential,4,2018-10-02,5128.4
L9G,Residential,4,2018-10-03,4986.3
L9G,Residential,4,2018-10-04,4894.4
L9G,Residential,4,2018-10-05,5070.7
L9G,Residential,4,2018-10-06,5107.4
L9G,Residential,4,2018-10-07,4946.5
L9G,Residential,4,2018-10-08,4964.7
L9G,Residential,4,2018-10-09,4834.0
L9G,Residential,4,2018-10-10,5388.0
L9G,Residential,4,2018-10-11,5704.6
L9G,Residential,4,2018-10-12,4786.1
L9G,Residential,4,2018-10-13,5052.4
L9G,Residential,4,2018-10-14,5187.1
L9G,Residential,4,2018-10-15,4887.4
L9G,Residential,4,2018-10-16,5274.2
L9G,Residential,4,2018-10-17,4962.1
L9G,Residential,4,2018-10-18,5325.4
L9G,Residential,4,2018-10-19,5150.9
L9G,Residential,4,2018-10-20,5556.4
L9G,Residential,4,2018-10-21,5177.0
L9G,Residential,4,2018-10-22,5156.4
L9G,Residential,4,2018-10-23,5003.9
L9G,Residential,4,2018-10-24,5149.6
L9G,Residential,4,2018-10-25,5241.8
L9G,Residential,4,2018-10-26,5117.0
L9G,Residential,4,2018-10-27,5215.1
L9G,Residential,4,2018-10-28,5371.6
L9G,Residential,4,2018-10-29,5096.5
L9G,Residential,4,2018-10-30,5324.1
L9G,Residential,4,2018-10-31,4801.8
L9G,Residential,4,2018-11-01,4915.8
L9G,Residential,4,2018-11-02,5247.7
L9G,Residential,4,2018-11-03,5207.6
L9G,Residential,4,2018-11-04,5360.8
L9G,Residential,4,2018-11-05,5005.1
L9G,Residential,4,2018-11-06,4734.4
L9G,Residential,4,2018-11-07,4881.1
L9G,Residential,4,2018-11-08,5103.1
L9G,Residential,4,2018-11-09,5192.9
L9G,Residential,4,2018-11-10,5680.4
L9G,Residential,4,2018-11-11,5649.9
L9G,Residential,4,2018-11-12,5377.9
L9G,Residential,4,2018-11-13,5220.5
L9G,Residential,4,2018-11-14,5664.9
L9G,Residential,4,2018-11-15,5842.6
L9G,Residential,4,2018-11-16,5566.5
L9G,Residential,4,2018-11-17,5608.9
L9G,Residential,4,2018-11-18,5729.8
L9G,Residential,4,2018-11-19,5652.8
L9G,Residential,4,2018-11-20,5562.3
L9G,Residential,4,2018-11-21,5792.0
L9G,Residential,4,2018-11-22,6572.4
L9G,Residential,4,2018-11-23,6335.5
L9G,Residential,4,2018-11-24,5744.9
L9G,Residential,4,2018-11-25,5300.9
L9G,Residential,4,2018-11-26,5334.1
L9G,Residential,4,2018-11-27,5591.4
L9G,Residential,4,2018-11-28,5831.4
L9G,Residential,4,2018-11-29,5691.1
L9G,Residential,4,2018-11-30,5711.0
