YEAR,MONTH,DAY,HOUR,TOTAL_CONSUMPTION
2018,1,13,17,11339.0
2018,1,13,18,12966.1
2018,1,13,19,13331.4
2018,1,13,20,12804.7
2018,1,13,21,12299.3
2018,1,13,22,11682.0
2018,1,13,23,10838.8
2018,1,13,24,9560.4
2018,1,14,1,8573.4
2018,1,14,2,7930.6
2018,1,14,3,7536.8
2018,1,14,4,7485.9
2018,1,14,5,7474.2
2018,1,14,6,7686.6
2018,1,14,7,8097.1
2018,1,14,8,8858.6
2018,1,14,9,9724.4
2018,1,14,10,10099.6
2018,1,14,11,10291.9
2018,1,14,12,10367.5
2018,1,14,13,10534.4
2018,1,14,14,10335.9
2018,1,14,15,10725.6
2018,1,14,16,10989.2
2018,1,14,17,11933.4
2018,1,14,18,13677.7
2018,1,14,19,13627.3
2018,1,14,20,13304.6
2018,1,14,21,12784.7
2018,1,14,22,11851.2
2018,1,14,23,10560.5
2018,1,14,24,8882.1
2018,1,15,1,7731.7
2018,1,15,2,7267.7
2018,1,15,3,7040.9
2018,1,15,4,7046.5
2018,1,15,5,7176.1
2018,1,15,6,7661.0
2018,1,15,7,8627.4
2018,1,15,8,9701.4
2018,1,15,9,9309.0
2018,1,15,10,8806.1
2018,1,15,11,8655.1
2018,1,15,12,8686.0
2018,1,15,13,8637.4
2018,1,15,14,8592.3
2018,1,15,15,8700.2
2018,1,15,16,8945.8
2018,1,15,17,10094.9
2018,1,15,18,12292.5
2018,1,15,19,12500.0
2018,1,15,20,12391.7
2018,1,15,21,12065.0
2018,1,15,22,11255.3
2018,1,15,23,10007.9
2018,1,15,24,8379.7
2018,1,16,1,7323.4
2018,1,16,2,6880.3
2018,1,16,3,6609.9
2018,1,16,4,6566.8
2018,1,16,5,6694.6
2018,1,16,6,7178.0
2018,1,16,7,8096.3
2018,1,16,8,9085.5
2018,1,16,9,8609.6
2018,1,16,10,7937.1
2018,1,16,11,7923.8
2018,1,16,12,7791.7
2018,1,16,13,7784.0
2018,1,16,14,7744.6
2018,1,16,15,7951.1
2018,1,16,16,8305.1
2018,1,16,17,9559.7
2018,1,16,18,11596.8
2018,1,16,19,11970.9
2018,1,16,20,12112.8
2018,1,16,21,12012.1
2018,1,16,22,11460.4
2018,1,16,23,10140.4
2018,1,16,24,8477.7
2018,1,17,1,7462.6
2018,1,17,2,7045.7
2018,1,17,3,6902.2
2018,1,17,4,6843.7
2018,1,17,5,6986.2
2018,1,17,6,7503.0
2018,1,17,7,8457.5
2018,1,17,8,9440.0
2018,1,17,9,9021.1
2018,1,17,10,8422.3
2018,1,17,11,8080.0
2018,1,17,12,7817.5
2018,1,17,13,7826.1
2018,1,17,14,7760.7
2018,1,17,15,7833.8
2018,1,17,16,8232.2
2018,1,17,17,9549.7
2018,1,17,18,11544.4
2018,1,17,19,12068.1
2018,1,17,20,12136.9
2018,1,17,21,12128.8
2018,1,17,22,11429.6
2018,1,17,23,10095.6
2018,1,17,24,8586.3
2018,1,18,1,7605.5
2018,1,18,2,7151.3
2018,1,18,3,6937.1
2018,1,18,4,6847.0
2018,1,18,5,7009.0
2018,1,18,6,7549.7
2018,1,18,7,8479.1
2018,1,18,8,9502.7
2018,1,18,9,9046.0
2018,1,18,10,8454.6
2018,1,18,11,8447.3
2018,1,18,12,8359.9
2018,1,18,13,8324.3
2018,1,18,14,8122.5
2018,1,18,15,8251.3
2018,1,18,16,8773.7
2018,1,18,17,9865.1
2018,1,18,18,11580.6
2018,1,18,19,11914.0
2018,1,18,20,11934.3
2018,1,18,21,11867.1
2018,1,18,22,11279.3
2018,1,18,23,9983.9
2018,1,18,24,8375.9
2018,1,19,1,7360.0
2018,1,19,2,6836.5
2018,1,19,3,6646.7
2018,1,19,4,6468.5
2018,1,19,5,6621.5
2018,1,19,6,7185.8
2018,1,19,7,8089.8
2018,1,19,8,8995.4
2018,1,19,9,8584.7
2018,1,19,10,7936.6
2018,1,19,11,7696.5
2018,1,19,12,7614.6
2018,1,19,13,7420.0
2018,1,19,14,7341.7
2018,1,19,15,7491.4
2018,1,19,16,7840.3
2018,1,19,17,8895.0
2018,1,19,18,10744.6
2018,1,19,19,11120.3
2018,1,19,20,11318.5
2018,1,19,21,11089.9
2018,1,19,22,10525.3
2018,1,19,23,9471.9
2018,1,19,24,8284.0
2018,1,20,1,7578.9
2018,1,20,2,7155.3
2018,1,20,3,6744.6
2018,1,20,4,6392.0
2018,1,20,5,6542.5
2018,1,20,6,6706.3
2018,1,20,7,7271.6
2018,1,20,8,7916.4
2018,1,20,9,8928.0
2018,1,20,10,9228.9
2018,1,20,11,9292.0
2018,1,20,12,9470.3
2018,1,20,13,9509.7
2018,1,20,14,9415.3
2018,1,20,15,9078.0
2018,1,20,16,9095.5
2018,1,20,17,9912.1
2018,1,20,18,11407.7
2018,1,20,19,11805.9
2018,1,20,20,11420.1
2018,1,20,21,10969.3
2018,1,20,22,10325.9
2018,1,20,23,9558.7
2018,1,20,24,8316.8
2018,1,21,1,7318.2
2018,1,21,2,6677.5
2018,1,21,3,6327.0
2018,1,21,4,6115.2
2018,1,21,5,6026.0
2018,1,21,6,6374.1
2018,1,21,7,6633.1
2018,1,21,8,7551.9
2018,1,21,9,8555.7
2018,1,21,10,8845.4
2018,1,21,11,9360.4
2018,1,21,12,9789.6
2018,1,21,13,9657.6
2018,1,21,14,9722.7
2018,1,21,15,10151.5
2018,1,21,16,10768.7
2018,1,21,17,11753.7
2018,1,21,18,12758.0
2018,1,21,19,12564.8
2018,1,21,20,12140.5
2018,1,21,21,11569.1
2018,1,21,22,10474.3
2018,1,21,23,9107.2
2018,1,21,24,7603.9
2018,1,22,1,6410.7
2018,1,22,2,5967.5
2018,1,22,3,5731.7
2018,1,22,4,5646.6
2018,1,22,5,5810.3
2018,1,22,6,6305.3
2018,1,22,7,7232.2
2018,1,22,8,8355.1
2018,1,22,9,8149.2
2018,1,22,10,7813.4
2018,1,22,11,7899.8
2018,1,22,12,8101.0
2018,1,22,13,8115.8
2018,1,22,14,7982.6
2018,1,22,15,8026.4
2018,1,22,16,8434.3
2018,1,22,17,9565.3
2018,1,22,18,11135.4
2018,1,22,19,11339.3
2018,1,22,20,11308.1
2018,1,22,21,11081.6
2018,1,22,22,10438.4
2018,1,22,23,9025.2
2018,1,22,24,7539.5
2018,1,23,1,6515.4
2018,1,23,2,6024.9
2018,1,23,3,5782.1
2018,1,23,4,5726.5
2018,1,23,5,5797.1
2018,1,23,6,6331.9
2018,1,23,7,7152.6
2018,1,23,8,8111.3
2018,1,23,9,7783.9
2018,1,23,10,7231.9
2018,1,23,11,7002.5
2018,1,23,12,7058.2
2018,1,23,13,7374.4
2018,1,23,14,7412.0
2018,1,23,15,7424.9
2018,1,23,16,7929.0
2018,1,23,17,9352.1
2018,1,23,18,10995.1
